Navn,OrgNr,NACE_kode,NACE_beskrivelse,AntallAnsatte,aar,driftsinntekter,driftskostnad,driftsresultat,%Driftsmargin_BMRFY,finansinntekter,finanskostnader,%NettoFinansMargin_BMRFY,nettofinans,resultatFørSkatt,%ResultatFørSkatt_BMRFY,aarsresultat,%nettoresultatmargin_BMRFY,totalresultat,anleggsmidler,omlopsmidler,%likviditetsgrad_BMRFY,sumEiendeler,%ROA_BMRFY,innskuttEgenkapital,egenkapital,%egenkapitalandel_BMRFY,%ROE_BMRFY,sumGjeld,%gearing_BMRFY,%Gjeldsgrad_BMRFY,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,omsetningPerAnsatt_BMRFY
BORGAR KITTILSEN VERKSTED AS,987009640,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",27,2023,40179426,36759279,3420147,"8,51 %",102321,5397,"0,24 %",96924,3517071,"8,75 %",2741037,"6,82 %",,1387867,12277573,"180,93 %",13665440,"20,06 %",,6837807,"50,04 %","40,09 %",6827633,"49,96 %","99,85 %",13665440,41737,6785896,1488127
BP BIL AS,917487618,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",6,2023,37039768,35577198,1462570,"3,95 %",387,326338,"-0,88 %",-325951,1136619,"3,07 %",885982,"2,39 %",885982,609200,8549994,"196,11 %",9159194,"9,67 %",,3001391,"32,77 %","29,52 %",6157803,"67,23 %","205,16 %",9159194,1797977,4359826,6173295
BPW HOFSTAD AS,912722317,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",35,2023,191376740,185109963,6266777,"3,27 %",157928,1054248,"-0,47 %",-896320,5370457,"2,81 %",3854621,"2,01 %",3854621,30043687,90649298,"357,36 %",120692985,"3,19 %",,81922573,"67,88 %","4,71 %",38770412,"32,12 %","47,33 %",120692985,13403708,25366704,5467907
BRABIL AS,830858792,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",12,2023,13389677,13861573,-471896,"-3,52 %",,206177,"-1,54 %",-206177,-678074,"-5,06 %",-527672,"-3,94 %",-527672,1596682,2063016,"74,93 %",3659698,"-14,42 %",,-503242,"-13,75 %","104,85 %",4162939,"113,75 %","-827,22 %",3659698,1409821,2753118,1115806
BRAGES BILFORRETNING AS,841074602,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",37,2023,418417314,406799203,11618110,"2,78 %",46955,2497761,"-0,59 %",-2450805,9167305,"2,19 %",7152367,"1,71 %",7152367,5631027,116951497,"114,00 %",122582524,"5,83 %",,19991248,"16,31 %","35,78 %",102591276,"83,69 %","513,18 %",122582524,0,102591276,11308576
BRAGES BILSKADESENTER AS,913180887,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",16,2023,35065458,30509072,4556387,"12,99 %",101648,2530,"0,28 %",99118,4655504,"13,28 %",3631025,"10,35 %",3631025,1523294,12244161,"129,38 %",13767455,"26,37 %",,4303450,"31,26 %","84,37 %",9464005,"68,74 %","219,92 %",13767455,0,9464005,2191591
BRAGES BRUKTBIL AS,932613417,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",6,2023,,5570,-5570,,54,,,54,-5516,,-4302,,-4302,1214,30054,"539,57 %",31268,"-13,76 %",,25698,"82,19 %","-16,74 %",5570,"17,81 %","21,67 %",31268,0,5570,
BRD. ELLEFSENS EFTF. AS,994705407,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,10749445,10559095,190351,"1,77 %",2324,31612,"-0,27 %",-29288,161063,"1,50 %",137589,"1,28 %",,323800,2415744,"162,77 %",2739544,"5,02 %",,1060617,"38,72 %","12,97 %",1678927,"61,28 %","158,30 %",2739544,194810,1484117,1535635
BREMNES AUTO AS,947766848,47.300,Detaljhandel med drivstoff til motorvogner,13,2023,33684381,33311396,372985,"1,11 %",97527,84006,"0,04 %",13521,386506,"1,15 %",280795,"0,83 %",,1671710,5166546,"245,70 %",6838256,"4,11 %",,2085437,"30,50 %","13,46 %",4752819,"69,50 %","227,91 %",6838256,2650000,2102819,2591106
BREMSNES BILVERKSTED AS,976545761,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,13141885,12968903,172982,"1,32 %",7363,59516,"-0,40 %",-52153,120828,"0,92 %",120828,"0,92 %",,1338656,1854679,"106,59 %",3193335,"3,78 %",,193363,"6,06 %","62,49 %",2999972,"93,94 %","1551,47 %",3193335,1260000,1739972,1642736
BRENNE DEKK AS,999603556,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",17,2023,30593376,28557591,2035785,"6,65 %",35683,42527,"-0,02 %",-6844,2028941,"6,63 %",1581474,"5,17 %",,1324583,9012161,"286,39 %",10336745,"15,30 %",,7189948,"69,56 %","22,00 %",3146797,"30,44 %","43,77 %",10336745,0,3146797,1799610
BRENNES AUTO AS,851482652,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",48,2023,313638277,306718834,6919443,"2,21 %",113449,2088302,"-0,63 %",-1974853,4944590,"1,58 %",3856779,"1,23 %",,5885141,72244358,"145,39 %",78129499,"4,94 %",,19044877,"24,38 %","20,25 %",59084622,"75,62 %","310,24 %",78129499,9396000,49688622,6534131
BRENNES AUTO FREDRIKSTAD AS,815566432,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",8,2023,51857604,53444922,-1587318,"-3,06 %",6485,424994,"-0,81 %",-418509,-2005827,"-3,87 %",-1564545,"-3,02 %",,1545372,16609804,"115,04 %",18155176,"-8,62 %",,3716783,"20,47 %","-42,09 %",14438393,"79,53 %","388,46 %",18155176,0,14438393,6482201
BRENNES AUTO MOSS AS,993781185,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",18,2023,95862175,98485364,-2623189,"-2,74 %",28754,1721882,"-1,77 %",-1693128,-4316317,"-4,50 %",-3366727,"-3,51 %",,3307930,49030815,"102,79 %",52338745,"-6,43 %",,4640822,"8,87 %","-72,55 %",47697923,"91,13 %","1027,79 %",52338745,0,47697923,5325676
BRP NORWAY AS,974394197,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",10,2023,35150156,21817752,13332404,"37,93 %",-38,76283,"-0,22 %",-76321,13256083,"37,71 %",10366019,"29,49 %",10366019,4657331,31017016,"175,13 %",35674347,"29,06 %",,13414989,"37,60 %","77,27 %",22259358,"62,40 %","165,93 %",35674347,4548361,17710997,3515016
BRUMUNDDAL DEKK AS,990353352,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",6,2023,8324488,7652869,671619,"8,07 %",8102,37201,"-0,35 %",-29099,642520,"7,72 %",497196,"5,97 %",,545676,4171047,"264,87 %",4716723,"10,54 %",,2793206,"59,22 %","17,80 %",1923517,"40,78 %","68,86 %",4716723,348739,1574778,1387415
BRYNE AUTOSALG AS,991386831,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",6,2023,62192045,59556482,2635563,"4,24 %",4269,238128,"-0,38 %",-233859,2401704,"3,86 %",1873329,"3,01 %",1873329,2679374,9393635,"137,08 %",12073009,"15,52 %",,5167518,"42,80 %","36,25 %",6905491,"57,20 %","133,63 %",12073009,52933,6852558,10365341
BRYNE BIL AS,996783197,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",23,2023,33216553,30332063,2884490,"8,68 %",12219,42648,"-0,09 %",-30429,2854061,"8,59 %",2220701,"6,69 %",2220701,2922356,7773996,"100,94 %",10696352,"20,76 %",,1551209,"14,50 %","143,16 %",9145143,"85,50 %","589,55 %",10696352,1443466,7701677,1444198
BRØDRENE BAKKEHAUG AS,880995022,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",11,2023,56067095,49076662,6990433,"12,47 %",41063,83561,"-0,08 %",-42498,6947935,"12,39 %",5422127,"9,67 %",,1000379,25164435,"148,33 %",26164814,"20,72 %",,8648646,"33,05 %","62,69 %",17516168,"66,95 %","202,53 %",26164814,550585,16965583,5097009
BRØDRENE HAABY AS,930463922,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",8,2023,14015365,13548965,466400,"3,33 %",5694,8578,"-0,02 %",-2884,463516,"3,31 %",355980,"2,54 %",355980,3308600,7346611,"346,48 %",10655211,"3,34 %",,8534875,"80,10 %","4,17 %",2120336,"19,90 %","24,84 %",10655211,0,2120336,1751921
BRØDRENE LER AS,980376125,45.402,"Detaljhandel med motorsykler, deler og utstyr",9,2023,53421094,51793659,1627435,"3,05 %",10032,813541,"-1,50 %",-803509,823926,"1,54 %",623429,"1,17 %",623429,390992,38885871,"151,29 %",39276863,"1,59 %",,10209471,"25,99 %","6,11 %",29067391,"74,01 %","284,71 %",39276863,3364097,25703294,5935677
BRØDRENE SMEDSTUEN AS,865866372,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",14,2023,51445920,50806886,639034,"1,24 %",117237,116117,"0,00 %",1120,640154,"1,24 %",506704,"0,98 %",,1566753,7063775,"170,88 %",8630528,"5,87 %",,3575615,"41,43 %","14,17 %",5054913,"58,57 %","141,37 %",8630528,921254,4133659,3674709
BRØSTAD BIL AS,970983961,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,5067259,4907229,160030,"3,16 %",103,-1444,"0,03 %",1547,161577,"3,19 %",123833,"2,44 %",,275636,1775562,"310,08 %",2051198,"6,04 %",,1478575,"72,08 %","8,38 %",572623,"27,92 %","38,73 %",2051198,0,572623,1013452
BRÅTEN BILCO AS,933250172,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,8861107,9447023,-585916,"-6,61 %",26134,30882,"-0,05 %",-4748,-590664,"-6,67 %",-590664,"-6,67 %",,502952,4745512,"366,15 %",5248464,"-11,25 %",,2093861,"39,89 %","-28,21 %",3154604,"60,11 %","150,66 %",5248464,1858534,1296069,886111
BUDDY ELECTRIC AS,996252116,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",13,2023,16241545,29864923,-13623378,"-83,88 %",98051,1123060,"-6,31 %",-1025009,-14648387,"-90,19 %",-14648387,"-90,19 %",-14648387,14281673,24179613,"259,26 %",38461286,"-38,09 %",,18141467,"47,17 %","-80,75 %",20319819,"52,83 %","112,01 %",38461286,10993287,9326532,1249350
BULKFIX.NO AS,918087907,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,13331899,12201343,1130557,"8,48 %",110395,150893,"-0,30 %",-40498,1090059,"8,18 %",859341,"6,45 %",,1931668,2457046,"122,18 %",4388714,"19,58 %",,957293,"21,81 %","89,77 %",3431421,"78,19 %","358,45 %",4388714,1420436,2010986,1666487
BUSCO AS,926673033,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",14,2023,59529428,53260205,6269223,"10,53 %",75721,434019,"-0,60 %",-358298,5910925,"9,93 %",4610300,"7,74 %",4610300,0,24844345,"202,54 %",24844345,"18,56 %",,2577665,"10,38 %","178,86 %",22266680,"89,62 %","863,83 %",24844345,10000000,12266680,4252102
BUSSPART NORGE AS,917863474,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",42,2023,69131037,63818198,5312839,"7,69 %",212857,1200379,"-1,43 %",-987522,4325318,"6,26 %",3282783,"4,75 %",3282783,11477826,19921862,"139,65 %",31399688,"10,45 %",,8382060,"26,69 %","39,16 %",23017628,"73,31 %","274,61 %",31399688,8751599,14266029,1645977
BUSSPART SERVICE AS,931581031,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",19,2023,4114556,4237375,-122819,"-2,98 %",,14285,"-0,35 %",-14285,-137104,"-3,33 %",-137104,"-3,33 %",-137104,1850170,2359885,"78,14 %",4210055,"-3,26 %",,-112674,"-2,68 %","121,68 %",4322729,"102,68 %","-3836,49 %",4210055,1302625,3020104,216556
BYMEDHUS AS,919419415,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",8,2023,431565105,434183769,-2618664,"-0,61 %",532442,1201235,"-0,15 %",-668793,-3287457,"-0,76 %",-2775144,"-0,64 %",-2775144,6075538,38608063,"109,51 %",44683601,"-6,21 %",,6365913,"14,25 %","-43,59 %",38317688,"85,75 %","601,92 %",44683601,3062918,35254770,53945638
BÆRUM AUTOLAKKERING AS,978677592,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,7040948,6413754,627194,"8,91 %",679,83946,"-1,18 %",-83266,543928,"7,73 %",416608,"5,92 %",416608,3089569,924464,"62,64 %",4014034,"10,38 %",,1209524,"30,13 %","34,44 %",2804509,"69,87 %","231,87 %",4014034,1328703,1475806,1408190
BØ AUTO AS,998510880,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,11109995,9992913,1117081,"10,05 %",18440,7503,"0,10 %",10937,1128019,"10,15 %",880010,"7,92 %",,497130,4097004,"108,48 %",4594134,"19,16 %",,817435,"17,79 %","107,66 %",3776700,"82,21 %","462,02 %",4594134,0,3776700,1587142
BØ BIL OG KAROSSERI AS,926610430,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",11,2023,14409266,13136668,1272598,"8,83 %",52277,66951,"-0,10 %",-14674,1257924,"8,73 %",976540,"6,78 %",,640479,6148366,"166,18 %",6788845,"14,38 %",,3088978,"45,50 %","31,61 %",3699867,"54,50 %","119,78 %",6788845,0,3699867,1309933
BØGH HAFSØ BILFORRETNING AS,983072178,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",29,2023,274549694,266788396,7761298,"2,83 %",1822232,2149715,"-0,12 %",-327483,7433815,"2,71 %",6159375,"2,24 %",6159375,28006237,48985720,"95,51 %",76991957,"8,00 %",,12578327,"16,34 %","48,97 %",64413630,"83,66 %","512,10 %",76991957,13124247,51289383,9467231
BÅRD HENRIKSEN BILVERKSTED AS,993528099,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,9217527,7389763,1827764,"19,83 %",90007,941,"0,97 %",89066,1916830,"20,80 %",1494496,"16,21 %",1494496,3986600,6309335,"573,43 %",10295935,"14,52 %",,8897601,"86,42 %","16,80 %",1398334,"13,58 %","15,72 %",10295935,298061,1100273,1536255
CAR SPA AS,997456173,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",32,2023,38755402,36694290,2061112,"5,32 %",151063,622519,"-1,22 %",-471456,1589655,"4,10 %",1293506,"3,34 %",1293506,1526332,16811189,"134,73 %",18337521,"7,05 %",,3570894,"19,47 %","36,22 %",14766627,"80,53 %","413,53 %",18337521,2289217,12477410,1211106
CAR4SALE AS,920319173,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",8,2023,24444030,17632112,6811917,"27,87 %",811089,25122,"3,22 %",785966,7597883,"31,08 %",5924477,"24,24 %",5924477,791193,15978795,"163,44 %",16769988,"35,33 %",,6993674,"41,70 %","84,71 %",9776314,"58,30 %","139,79 %",16769988,0,9776314,3055504
CARANORD AS,965583262,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",6,2023,64970303,66195934,-1225631,"-1,89 %",184348,1874557,"-2,60 %",-1690209,-2915840,"-4,49 %",-2277323,"-3,51 %",-2277323,806110,44706328,"121,29 %",45512438,"-5,00 %",,5158095,"11,33 %","-44,15 %",40354343,"88,67 %","782,35 %",45512438,3496302,36858041,10828384
CARAVAN SUPPLY AS,996316289,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",10,2023,50851038,54009309,-3158271,"-6,21 %",522872,2026254,"-2,96 %",-1503382,-4661652,"-9,17 %",-3767111,"-7,41 %",-3767111,9618780,39977290,"153,55 %",49596071,"-7,60 %",,23561349,"47,51 %","-15,99 %",26034722,"52,49 %","110,50 %",49596071,0,26034722,5085104
CARFIX AS,979923465,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",60,2023,93663390,88371600,5291790,"5,65 %",812926,494733,"0,34 %",318193,5609983,"5,99 %",4371419,"4,67 %",4371419,24590762,10325663,"61,93 %",34916425,"12,52 %",,10637276,"30,46 %","41,10 %",24279149,"69,54 %","228,25 %",34916425,7604824,16674325,1561057
CARFIX GANN AS,984014198,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,8846205,9229336,-383131,"-4,33 %",147256,146921,"0,00 %",335,-382797,"-4,33 %",-298581,"-3,38 %",-298581,4136685,935876,"76,70 %",5072562,"-5,89 %",,1135610,"22,39 %","-26,29 %",3936952,"77,61 %","346,68 %",5072562,2716825,1220127,1474368
CARFIX GRUPPEN AS,920229484,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,17769839,16296777,1473062,"8,29 %",522017,951127,"-2,41 %",-429110,1043952,"5,87 %",813839,"4,58 %",813839,30557662,3124095,"66,97 %",33681757,"2,42 %",,10387294,"30,84 %","7,83 %",23294463,"69,16 %","224,26 %",33681757,18629678,4664785,2961640
CARFIX HAUGESUND AS,894638222,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,8020680,8817624,-796944,"-9,94 %",100,88823,"-1,11 %",-88723,-885667,"-11,04 %",-885667,"-11,04 %",-885667,1909600,390288,"14,06 %",2299888,"-38,51 %",,-1430791,"-62,21 %","61,90 %",3730679,"162,21 %","-260,74 %",2299888,954859,2775819,1145811
CARGLASS AS,985758220,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",395,2023,626071632,618565378,7506254,"1,20 %",1225962,8631872,"-1,18 %",-7405910,100344,"0,02 %",-1584762,"-0,25 %",-1584762,74357616,173259547,"78,82 %",247617163,"-0,64 %",,27799910,"11,23 %","-5,70 %",219817253,"88,77 %","790,71 %",247617163,0,219817253,1584991
CARL BERNER BILVASK & BILPLEIE AS,913023757,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,5815949,4580140,1235809,"21,25 %",1220,508,"0,01 %",712,1236521,"21,26 %",964714,"16,59 %",,209779,2794570,"175,92 %",3004348,"32,11 %",,1415466,"47,11 %","68,16 %",1588881,"52,89 %","112,25 %",3004348,380,1588502,830850
CARMAX AS,917413398,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,2904145,2400903,503242,"17,33 %",33,-34338,"-1,18 %",-34305,468937,"16,15 %",412574,"14,21 %",,995793,662842,"99,82 %",1658635,"24,87 %",,275948,"16,64 %","149,51 %",1382688,"83,36 %","501,07 %",1658635,718658,664029,414878
CARS AS,979607245,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,7342861,7316014,26847,"0,37 %",712,5051,"-0,06 %",-4339,22508,"0,31 %",17557,"0,24 %",17557,178588,2607474,"347,01 %",2786062,"0,63 %",,2034646,"73,03 %","0,86 %",751417,"26,97 %","36,93 %",2786062,0,751417,815873
CARS INVEST AS,923817301,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",17,2023,72372649,70027315,2345334,"3,24 %",5683,928836,"-1,28 %",-923153,1422181,"1,97 %",1125480,"1,56 %",,80821,9631742,"117,53 %",9712563,"11,59 %",,1517442,"15,62 %","74,17 %",8195121,"84,38 %","540,06 %",9712563,0,8195121,4257215
CARSHINE AS,913907329,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",22,2023,14734898,13987684,747215,"5,07 %",1407,84159,"-0,56 %",-82753,664462,"4,51 %",515271,"3,50 %",515271,869826,2715915,"136,49 %",3585742,"14,37 %",,664448,"18,53 %","77,55 %",2921293,"81,47 %","439,66 %",3585742,931538,1989756,669768
CARSHINE OSLO AS,932131749,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",22,2023,2028123,2141845,-113722,"-5,61 %",,,,,-113722,"-5,61 %",-88703,"-4,37 %",-88703,127820,986666,"109,98 %",1114486,"-7,96 %",,213513,"19,16 %","-41,54 %",900973,"80,84 %","421,98 %",1114486,3811,897162,92187
CARSTORE AS,924562854,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",10,2023,302824043,308344546,-5520503,"-1,82 %",17390,2452643,"-0,80 %",-2435253,-7955756,"-2,63 %",-6205857,"-2,05 %",-6205857,6631548,72938213,"100,41 %",79569761,"-7,80 %",,6927079,"8,71 %","-89,59 %",72642682,"91,29 %","1048,68 %",79569761,0,72642682,30282404
CASH & DRIVE AS,960699394,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",12,2023,11725799,11167591,558208,"4,76 %",48618,,"0,41 %",48618,606826,"5,18 %",470696,"4,01 %",470696,312153,4401477,"278,15 %",4713630,"9,99 %",,3131245,"66,43 %","15,03 %",1582384,"33,57 %","50,54 %",4713630,0,1582384,977150
CBA SERVICES AS,990666342,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",168,2023,70351147,66942084,3409063,"4,85 %",13613,244672,"-0,33 %",-231059,3178004,"4,52 %",2915246,"4,14 %",,1337238,26581130,"102,99 %",27918368,"10,44 %",,2074414,"7,43 %","140,53 %",25843954,"92,57 %","1245,84 %",27918368,35141,25808813,418757
CBP AS,976779975,45.402,"Detaljhandel med motorsykler, deler og utstyr",19,2023,77053460,76708989,344471,"0,45 %",46448,1137389,"-1,42 %",-1090941,-746470,"-0,97 %",-580309,"-0,75 %",,3719730,25370978,"161,72 %",29090707,"-1,99 %",,7058552,"24,26 %","-8,22 %",22032156,"75,74 %","312,13 %",29090707,6344191,15687965,4055445
CC BILPLEIE AS,920707076,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,2666378,1930767,735611,"27,59 %",4678,6130,"-0,05 %",-1452,734159,"27,53 %",581565,"21,81 %",,114619,952796,"153,81 %",1067414,"54,48 %",,447959,"41,97 %","129,83 %",619456,"58,03 %","138,28 %",1067414,0,619456,380911
CENTRUM BIL & KAROSSERI AS,961070880,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",14,2023,15842161,15012781,829380,"5,24 %",18598,70876,"-0,33 %",-52279,777101,"4,91 %",777101,"4,91 %",777101,764856,2258486,"122,15 %",3023342,"25,70 %",,1174390,"38,84 %","66,17 %",1848952,"61,16 %","157,44 %",3023342,0,1848952,1131583
CENTRUM BILVERKSTED AS,989483145,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,10372453,8421520,1950933,"18,81 %",78853,869,"0,75 %",77984,2028917,"19,56 %",1602654,"15,45 %",1602654,201718,6636313,"369,61 %",6838031,"23,44 %",,5042529,"73,74 %","31,78 %",1795502,"26,26 %","35,61 %",6838031,0,1795502,1296557
CENTRUM KAROSSERI OG LAKK AS,929064275,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",24,2023,54400541,0,359641,"0,66 %",0,0,"0,00 %",0,1036656,"1,91 %",801265,"1,47 %",801265,15543572,13654552,"130,07 %",29198124,"2,74 %",,12163480,"41,66 %","6,59 %",17034644,"58,34 %","140,05 %",29198124,6536474,10498170,2266689
CF MASKIN TUNNA AUTO AS,997881117,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,10238359,9175966,1062393,"10,38 %",31380,963933,"-9,11 %",-932553,129840,"1,27 %",129840,"1,27 %",,9578038,7560725,"119,94 %",17138763,"0,76 %",,-1829550,"-10,67 %","-7,10 %",18968313,"110,67 %","-1036,77 %",17138763,12664587,6303726,1279795
CHR REPSTAD SØNNER AS,933852407,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",13,2023,38949957,37218902,1731055,"4,44 %",411606,18202,"1,01 %",393404,2124459,"5,45 %",1657602,"4,26 %",,3480496,25351094,"368,60 %",28831590,"5,75 %",,21853930,"75,80 %","7,58 %",6977662,"24,20 %","31,93 %",28831592,100000,6877662,2996151
CHRISTER RØISELAND AS,994910140,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",6,2023,8340910,8140277,200633,"2,41 %",86,4533,"-0,05 %",-4447,196186,"2,35 %",186858,"2,24 %",186858,87974,822488,"145,63 %",910461,"20,52 %",,317611,"34,88 %","58,83 %",592851,"65,12 %","186,66 %",910461,28085,564766,1390152
